Date,Total Confirmed,Growth Factor
2020-01-30,1,0.0
2020-01-31,1,0.0
2020-02-01,1,0.0
2020-02-02,2,0.0
2020-02-03,3,1.0
2020-02-04,3,0.0
2020-02-05,3,0.0
2020-02-06,3,0.0
2020-02-07,3,0.0
2020-02-08,3,0.0
2020-02-09,3,0.0
2020-02-10,3,0.0
2020-02-11,3,0.0
2020-02-12,3,0.0
2020-02-13,3,0.0
2020-02-14,3,0.0
2020-02-15,3,0.0
2020-02-16,3,0.0
2020-02-17,3,0.0
2020-02-18,3,0.0
2020-02-19,3,0.0
2020-02-20,3,0.0
2020-02-21,3,0.0
2020-02-22,3,0.0
2020-02-23,3,0.0
2020-02-24,3,0.0
2020-02-25,3,0.0
2020-02-26,3,0.0
2020-02-27,3,0.0
2020-02-28,3,0.0
2020-02-29,3,0.0
2020-03-01,3,0.0
2020-03-02,5,0.0
2020-03-03,6,0.5
2020-03-04,28,22.0
2020-03-05,30,0.09090909090909091
2020-03-06,31,0.5
2020-03-07,34,3.0
2020-03-08,39,1.6666666666666667
2020-03-09,48,1.8
2020-03-10,63,1.6666666666666667
2020-03-11,71,0.5333333333333333
2020-03-12,81,1.25
2020-03-13,91,1.0
2020-03-14,102,1.1
2020-03-15,112,0.9090909090909091
2020-03-16,126,1.4
2020-03-17,146,1.4285714285714286
2020-03-18,171,1.25
2020-03-19,198,1.08
2020-03-20,256,2.1481481481481484
2020-03-21,334,1.3448275862068966
2020-03-22,403,0.8846153846153846
2020-03-23,497,1.3623188405797102
2020-03-24,571,0.7872340425531915
2020-03-25,657,1.162162162162162
2020-03-26,730,0.8488372093023255
2020-03-27,883,2.095890410958904
2020-03-28,1019,0.8888888888888888
2020-03-29,1139,0.8823529411764706
2020-03-30,1326,1.5583333333333333
2020-03-31,1635,1.6524064171122994
2020-04-01,2059,1.372168284789644
2020-04-02,2545,1.1462264150943395
2020-04-03,3105,1.1522633744855968
2020-04-04,3684,1.0339285714285715
2020-04-05,4293,1.0518134715025906
2020-04-06,4777,0.7947454844006568
2020-04-07,5350,1.1838842975206612
2020-04-08,5915,0.9860383944153578
2020-04-09,6728,1.4389380530973452
2020-04-10,7599,1.071340713407134
2020-04-11,8453,0.9804822043628014
2020-04-12,9211,0.8875878220140515
2020-04-13,10454,1.6398416886543536
2020-04-14,11485,0.829444891391794
2020-04-15,12371,0.8593598448108632
2020-04-16,13432,1.1975169300225734
2020-04-17,14354,0.8689915174363808
2020-04-18,15725,1.4869848156182213
2020-04-19,17305,1.1524434719183079
2020-04-20,18544,0.7841772151898734
2020-04-21,20081,1.2405165456012914
2020-04-22,21373,0.8405985686402082
2020-04-23,23040,1.2902476780185759
2020-04-24,24448,0.8446310737852429
2020-04-25,26283,1.3032670454545454
2020-04-26,27890,0.87574931880109
2020-04-27,29458,0.9757311761045426
2020-04-28,31360,1.2130102040816326
2020-04-29,33065,0.8964248159831756
2020-04-30,34866,1.0563049853372435
2020-05-01,37262,1.3303720155469183
2020-05-02,39826,1.0701168614357262
2020-05-03,42778,1.1513260530421217
2020-05-04,46434,1.2384823848238482
2020-05-05,49405,0.812636761487965
2020-05-06,53007,1.2123864018848873
2020-05-07,56351,0.9283731260410882
2020-05-08,59690,0.9985047846889952
2020-05-09,62865,0.9508834980533094
2020-05-10,67176,1.3577952755905511
2020-05-11,70768,0.8332173509626537
2020-05-12,74330,0.9916481069042317
2020-05-13,78056,1.0460415496911848
2020-05-14,82047,1.0711218464841654
2020-05-15,85855,0.9541468303683287
2020-05-16,90649,1.2589285714285714
2020-05-17,95698,1.053191489361702
2020-05-18,100326,0.9166171519112696
2020-05-19,106480,1.3297320656871219
2020-05-20,112200,0.929476763080923
2020-05-21,118223,1.052972027972028
2020-05-22,124759,1.085173501577287
2020-05-23,131422,1.0194308445532436
2020-05-24,138535,1.0675371454299865
25-05-2020,0,1.0675371454299865
26-05-2020,0,1.0675371454299865
27-05-2020,0,1.0675371454299865
28-05-2020,0,1.0675371454299865
29-05-2020,0,1.0675371454299865
30-05-2020,0,1.0675371454299865
31-05-2020,0,1.0675371454299865