Date,Total Confirmed Cases,State,Growth Factor
2020-03-20,2,Gujarat,0.0
2020-03-21,7,Gujarat,0.0
2020-03-22,18,Gujarat,2.2
2020-03-23,29,Gujarat,1.0
2020-03-24,33,Gujarat,0.36363636363636365
2020-03-25,38,Gujarat,1.25
2020-03-26,43,Gujarat,1.0
2020-03-27,43,Gujarat,0.0
2020-03-28,45,Gujarat,0.0
2020-03-29,53,Gujarat,4.0
2020-03-30,58,Gujarat,0.625
2020-03-31,73,Gujarat,3.0
2020-04-01,82,Gujarat,0.6
2020-04-02,82,Gujarat,0.0
2020-04-03,87,Gujarat,0.0
2020-04-04,95,Gujarat,1.6
2020-04-05,105,Gujarat,1.25
2020-04-06,122,Gujarat,1.7
2020-04-07,144,Gujarat,1.2941176470588236
2020-04-08,165,Gujarat,0.9545454545454546
2020-04-09,179,Gujarat,0.6666666666666666
2020-04-10,241,Gujarat,4.428571428571429
2020-04-11,308,Gujarat,1.0806451612903225
2020-04-12,432,Gujarat,1.8507462686567164
2020-04-13,516,Gujarat,0.6774193548387096
2020-04-14,617,Gujarat,1.2023809523809523
2020-04-15,650,Gujarat,0.32673267326732675
2020-04-16,766,Gujarat,3.515151515151515
2020-04-17,1021,Gujarat,2.1982758620689653
2020-04-18,1099,Gujarat,0.3058823529411765
2020-04-19,1376,Gujarat,3.551282051282051
2020-04-20,1743,Gujarat,1.3249097472924187
2020-04-21,1939,Gujarat,0.5340599455040872
2020-04-22,2178,Gujarat,1.219387755102041
2020-04-23,2407,Gujarat,0.9581589958158996
2020-04-24,2624,Gujarat,0.9475982532751092
2020-04-25,2815,Gujarat,0.880184331797235
2020-04-26,3071,Gujarat,1.3403141361256545
2020-04-27,3301,Gujarat,0.8984375
2020-04-28,3548,Gujarat,1.0739130434782609
2020-04-29,3744,Gujarat,0.7935222672064778
2020-04-30,4082,Gujarat,1.7244897959183674
2020-05-01,4395,Gujarat,0.9260355029585798
2020-05-02,4721,Gujarat,1.0415335463258786
2020-05-03,5054,Gujarat,1.021472392638037
2020-05-04,5428,Gujarat,1.1231231231231231
2020-05-05,5804,Gujarat,1.0053475935828877
2020-05-06,6245,Gujarat,1.172872340425532
2020-05-07,6625,Gujarat,0.8616780045351474
2020-05-08,7012,Gujarat,1.018421052631579
2020-05-09,7402,Gujarat,1.0077519379844961
2020-05-10,7796,Gujarat,1.0102564102564102
2020-05-11,8194,Gujarat,1.0101522842639594
2020-05-12,8541,Gujarat,0.871859296482412
2020-05-13,8903,Gujarat,1.043227665706052
2020-05-14,9267,Gujarat,1.0055248618784531
2020-05-15,9591,Gujarat,0.8901098901098901
2020-05-16,9931,Gujarat,1.0493827160493827
2020-05-17,10988,Gujarat,3.1088235294117648
2020-05-18,10988,Gujarat,0.0
2020-05-19,11745,Gujarat,0.0
2020-05-20,12140,Gujarat,0.5217965653896962
21-05-2020,0,Gujarat
22-05-2020,0,Gujarat
23-05-2020,0,Gujarat
24-05-2020,0,Gujarat
25-05-2020,0,Gujarat
26-05-2020,0,Gujarat
27-05-2020,0,Gujarat